ID,READING_DATETIME,CALENDAR_KEY,EVENT_KEY,GENERAL_SUPPLY_KWH,CONTROLLED_LOAD_KWH,GROSS_GENERATION_KWH,NET_GENERATION_KWH,OTHER_KWH
10006414,2013-05-02 12:30:00,297001,0,0.054,0,0,0,0
10006414,2013-05-02 13:00:00,297004,0,0.054,0,0,0,0
10006414,2013-05-02 13:30:00,297007,0,0.058,0,0,0,0
10006414,2013-05-02 14:00:00,297010,0,0.056,0,0,0,0
10006414,2013-05-02 14:30:00,297013,0,0.055,0,0,0,0
10006414,2013-05-02 15:00:00,297016,0,0.055,0,0,0,0
10006414,2013-05-02 15:30:00,297019,0,0.122,0,0,0,0
10006414,2013-05-02 16:00:00,297022,0,0.053,0,0,0,0
10006414,2013-05-02 16:30:00,297025,0,0.052,0,0,0,0
10006414,2013-05-02 17:00:00,297541,0,0.271,0,0,0,0
10006414,2013-05-02 17:30:00,297544,0,0.204,0,0,0,0
10006414,2013-05-02 18:00:00,297547,0,0.18,0,0,0,0
10006414,2013-05-02 18:30:00,297550,0,0.143,0,0,0,0
10006414,2013-05-02 19:00:00,297553,0,0.116,0,0,0,0
10006414,2013-05-02 19:30:00,297556,0,0.121,0,0,0,0
10006414,2013-05-02 20:00:00,297559,0,0.305,0,0,0,0
10006414,2013-05-02 20:30:00,297562,0,0.217,0,0,0,0
10006414,2013-05-02 21:00:00,297565,0,0.301,0,0,0,0
10006414,2013-05-02 21:30:00,297568,0,0.327,0,0,0,0
10006414,2013-05-02 22:00:00,297571,0,0.294,0,0,0,0
10006414,2013-05-02 22:30:00,297574,0,0.31,0,0,0,0
10006414,2013-05-02 23:00:00,297577,0,0.294,0,0,0,0
10006414,2013-05-02 23:30:00,297580,0,0.293,0,0,0,0
10006414,2013-05-03 00:00:00,297583,0,0.29,0,0,0,0
10006414,2013-05-03 00:30:00,297586,0,0.299,0,0,0,0
